percent;Bow-Binary;AE;BoW-term-frequency-IDF;BoW-term-frequency;DBERTML;Density;Maalej;VAE;MAE;MVAE
3_%;0.523901514776564;0.546359537374477;0.526270168917121;0.522077698128663;0.537386499549534;0.610262741751364;0.579119029296358;0.553071656020166;0.58586980016071;0.573649708460501
5_%;0.524379925918319;0.546368568643865;0.540177222708567;0.522692455129393;0.53825588142029;0.640289885166374;0.57584710784832;0.55582978893552;0.610764731990061;0.57737185786232
7_%;0.524379904407508;0.54907876643055;0.54752093188702;0.522897962340742;0.540172068390217;0.630330772109706;0.578690984947023;0.548931183518333;0.610096429622974;0.579432531208087
10_%;0.524551793341937;0.548948439112061;0.55548694857465;0.523534276949111;0.541042175926659;0.638967952998258;0.579127428806651;0.547343214364513;0.621606720621604;0.578898540425834
0.25_%;0.550189915703758;0.563506727081323;0.545531541173604;0.54957612907559;0.563686060491883;0.651454055157044;0.602054790845368;0.570334214657661;0.654247638503041;0.60215271255214
0.5_%;0.550190037870071;0.564653758498827;0.576347085610876;0.550348498451952;0.564377191957482;0.656657235320754;0.603126492244376;0.567295500726278;0.672029247557124;0.611311073760591
0.75_%;0.549990341771913;0.564906079164457;0.581419206332006;0.55032536009993;0.564439835638411;0.667862405661418;0.602659894047383;0.565310620921451;0.682292531222872;0.614807566951705
1_%;0.550322924549505;0.564504492253572;0.56534760770182;0.550148753457714;0.564007879875215;0.674658781345143;0.602701524586073;0.564141208631667;0.68198875769314;0.609974087839306
