percent;BoW-term-frequency-IDF;Bow-Binary;AE;BoW-term-frequency;DBERTML;Density;Maalej;VAE;MAE;MVAE
3_%;0.551098075023564;0.540339794216137;0.644211443558205;0.536627842402369;0.666673956237753;0.66095057403432;0.663136491001135;0.68295389521061;0.70044181202237;0.723467681771192
5_%;0.570179796100141;0.53980963048415;0.643651646640355;0.537533560438885;0.676774985665328;0.658798275191204;0.667374926945307;0.686851755050142;0.711072607605749;0.754715388799358
7_%;0.583166752979957;0.540078063001548;0.643807911549505;0.538565342227308;0.679497763362599;0.653365333862602;0.671328172054388;0.688967899727198;0.719630878170812;0.739953341953139
10_%;0.603953005905542;0.53991707697186;0.645767618291155;0.539310554524934;0.672852668839791;0.638399536725036;0.67200859588818;0.670341133080453;0.719046297967777;0.73741739961025
0.25_%;0.597938476966169;0.567045965618006;0.658804110580545;0.565664984433043;0.682382628319472;0.647460895490869;0.63251279444867;0.669987461299789;0.731813860556023;0.737868389319822
0.5_%;0.62631512432166;0.567858403072093;0.654519195394406;0.567924166517852;0.681912398896017;0.642961528414453;0.636642438364824;0.662047735245601;0.748275606296784;0.730206917321708
0.75_%;0.63755723298427;0.568407589216666;0.645470653482483;0.568246204914738;0.683175620938628;0.641833850531659;0.637323648571909;0.661441871891742;0.772956027485688;0.727624021057744
1_%;0.647361883089485;0.568408313307308;0.651306143782636;0.568408313307308;0.682436686550767;0.637070739520358;0.639962348300253;0.659479142828335;0.778735336226966;0.719262675196569
