percent;Bow-Binary;AE;BoW-term-frequency-IDF;BoW-term-frequency;DBERTML;Density;Maalej;VAE;MAE;MVAE
3_%;0.314219484574585;0.644283986005241;0.646508619498143;0.332931427173544;0.627163556589596;0.728381453877842;0.700145180559035;0.655630963594792;0.684254731381905;0.678810211132254
5_%;0.305350915858286;0.637115744109967;0.647977089654535;0.335167363963567;0.627847042338476;0.765807063917908;0.698904118655568;0.656130104261736;0.724993213006659;0.689088038504859
7_%;0.30257367266313;0.635075686964639;0.651076809608773;0.327939614633584;0.62916149751768;0.750696923003401;0.699019424708379;0.642061871826747;0.712879881118738;0.685068522533297
10_%;0.302667359168236;0.643527689970972;0.654609704281661;0.34226982437813;0.631004896964924;0.759301619181187;0.699182880846203;0.664135381617562;0.728892073662273;0.702404464964268
0.25_%;0.27407285858603;0.629915138601197;0.650906935294917;0.296524005059594;0.635956919872774;0.750209037658324;0.70215183962104;0.66086539242985;0.757022161476904;0.690205830135715
0.5_%;0.275979412006067;0.622642711410687;0.661922093987345;0.302840545519372;0.638550412011727;0.752814854211235;0.702214267320905;0.66215068423376;0.781578330616772;0.699510038258232
0.75_%;0.279586394274848;0.619658172886459;0.664227502914643;0.304652071377636;0.63753685722209;0.761211476337623;0.702467944016209;0.652459621435929;0.789187272063568;0.700829749453858
1_%;0.282815214580008;0.618034312993084;0.684813864505869;0.307117642647741;0.637520488811165;0.776866672326168;0.702381468244536;0.656175532276138;0.798101145766127;0.687646939058485
