;0;1;2;3
percent;3_%;5_%;7_%;10_%
Bow-Binary;0.0011753052710178164;0.0001682723336466954;0.0002364080574505584;0.00016988627100715113
AE;0.013635173732068307;0.009471298390742993;0.008450758866352442;0.00568311631934864
BoW-term-frequency-IDF;0.008163314830062711;0.008630510434522027;0.009227417698531814;0.007313949747109105
BoW-term-frequency;0.00198367527759675;0.0007843527741518548;0.0008916671819565252;0.0005966472032129185
DBERTML;0.01177570864275317;0.00714741892861623;0.006093181559866813;0.004387326071462018
Density;0.034354181687076164;0.02219578599501415;0.016881306433056863;0.02169351441432747
Maalej;0.008729027305308997;0.008217170478496252;0.006038808508236765;0.005274543604220746
VAE;0.012368819554465898;0.00875579234047893;0.007821006413770691;0.0161112221251538
MAE;0.01833014672533746;0.02554537445600846;0.01067516279909674;0.012148223425078493
MVAE;0.0220317427039376;0.014789576556434519;0.013644945946472227;0.009484178958875128
