;0;1;2;3
percent;3_%;5_%;7_%;10_%
Bow-Binary;0.010835484005041949;0.011062669241902029;0.009943851389911246;0.005378946173393333
BoW-term-frequency-IDF;0.010442738447619058;0.01154282546485945;0.00954722283300225;0.008860781343185443
AE;0.01127877047488035;0.009428426127292557;0.00901148593004197;0.010271269461462396
BoW-term-frequency;0.010827809922475269;0.010151706076515818;0.01099503207144597;0.0092979583834127
DBERTML;0.012546911597986142;0.00927782925923465;0.0071886707374439855;0.004827256307798865
Density;0.02787885381505728;0.012537874021254442;0.03599836954682351;0.029645313993405555
Maalej;0.005502251156202382;0.004745837595617594;0.003182862561050241;0.003121820393016782
VAE;0.015733407332340767;0.008207767888211131;0.007304298570619775;0.00673128877080562
MAE;0.01912094741798815;0.011796094163261071;0.01611456041061177;0.01912816436087657
MVAE;0.012122641018817552;0.009625406124056341;0.009206223047474454;0.010677100793550841
