;0;1;2;3
percent;3_%;5_%;7_%;10_%
Bow-Binary;0.027678587310064662;0.0117415640706745;0.008576819518046036;0.034774383704917644
AE;0.022284143246675603;0.020460245586678426;0.009820394896065902;0.06399919277711695
BoW-term-frequency-IDF;0.014729309903971881;0.009852191512493709;0.011752852147304005;0.012508075089884222
BoW-term-frequency;0.015269092937478643;0.02330091394623069;0.02112770229206332;0.02621251818865159
DBERTML;0.016567018768409762;0.021199953670244527;0.017992783772575526;0.014896736520649306
Density;0.04329315943196285;0.026881771040354836;0.02257420132498688;0.03378198498343462
Maalej;0.0035905062939973116;0.002689655142055344;0.002138240903181576;0.0019326704193721128
VAE;0.02053047006830256;0.015219140800827919;0.01851406717243513;0.02431079277725746
MAE;0.03300238474624026;0.026612183475740327;0.016951395748715303;0.016435714214250587
MVAE;0.042303618425228166;0.03410385516130423;0.025641590998856132;0.01604018106345367
