;0;1;2;3
percent;3_%;5_%;7_%;10_%
BoW-term-frequency-IDF;0.03540784443756849;0.019797374320694262;0.013525772985659957;0.015068569887985968
Bow-Binary;0.028188831091238424;0.022344712563413045;0.019183155221409117;0.014314578030360525
AE;0.0181127241075319;0.017904157173941875;0.005502307564161103;0.010575138560539005
BoW-term-frequency;0.04303118205304785;0.04663943759450236;0.057893003826371386;0.03980508757575753
DBERTML;0.012399924271216636;0.020054849360502332;0.015239121721721134;0.01361521068544224
Density;0.039673067795340966;0.025058978986474197;0.02424991070901877;0.026259615559160038
Maalej;0.013022136660043345;0.003953684349069817;0.004360335672946314;0.0042866918910566595
VAE;0.014219340368569531;0.014920301791003069;0.013587519473902564;0.014499912519206596
MAE;0.014469288663799866;0.015557821144871803;0.008189703785450272;0.014511225712632997
MVAE;0.01484302476123119;0.022958741632501608;0.012795528250833866;0.01506487089174525
