;0;1;2;3
percent;3_%;5_%;7_%;10_%
BoW-term-frequency-IDF;0.02281367597429544;0.01500305893332819;0.011990693743188915;0.013315280339172205
Bow-Binary;0.00096832852635478;0.0010434148886944831;0.00125415103321685;0.0012370875024657975
AE;0.016981970922082687;0.017527136726956702;0.013592131409631216;0.016898441652899044
BoW-term-frequency;0.003024130405355479;0.002127202856210093;0.002314602361875405;0.002074543476700869
DBERTML;0.020665081869202698;0.01795757370594508;0.013321611030450835;0.012034791905898876
Density;0.02620645332949184;0.018715341153564564;0.02129314955940157;0.02389335272900633
Maalej;0.01718343813196517;0.005983659135133202;0.011419199472095874;0.006405527685037854
VAE;0.014192446279508122;0.01927887014138513;0.010035426635976178;0.010487717190866984
MAE;0.013390895079356152;0.01400895180257945;0.01654572063234229;0.010604381475532759
MVAE;0.029843239871642238;0.022966843265318445;0.029848441414876883;0.021752645429026246
