;0;1;2;3
percent;3_%;5_%;7_%;10_%
Bow-Binary;0.0005158899681647288;0.00028698528589004316;0.00030556979292332834;0.0004121472027516223
BoW-term-frequency-IDF;0.009812930990892149;0.0067706703681905;0.005748817592344141;0.006378502586841999
AE;0.011881151972754023;0.004504354256116553;0.008399919192407759;0.007107876608539301
BoW-term-frequency;0.0018309317278236566;0.0016712123055334575;0.00132514851298147;0.001058494836292835
DBERTML;0.01395497420665767;0.00861195936769546;0.0031841668145530773;0.001931731997300801
Density;0.011425870008783385;0.010397918838896885;0.02078150102307323;0.012655913789548707
Maalej;0.00815825774132144;0.004216679302914595;0.004025856270149139;0.003444537363435573
VAE;0.011570108344609286;0.010488725952206316;0.0052554160327579575;0.003388097484100201
MAE;0.007208665309717676;0.006339238576106597;0.0171939024900938;0.004942061540984217
MVAE;0.01186648000109525;0.00621719881432617;0.00792340878367176;0.005940187931418125
