percent;Bow-Binary;BoW-term-frequency-IDF;AE;BoW-term-frequency;DBERTML;Density;Maalej;VAE;MAE;MVAE
3_%;0.328886743184348;0.571077523094376;0.629317404432095;0.327982525698207;0.606893271397766;0.678239047194095;0.680302711069933;0.616811333447578;0.671085561684963;0.648472862301012
5_%;0.327986182935947;0.576994489620028;0.622952124003159;0.326822575830078;0.604570435791971;0.656589839663362;0.682675354279785;0.618063071296187;0.659380362683016;0.649534053675301
7_%;0.327966659067399;0.580864552913373;0.622891273674601;0.328261886229584;0.605854099958268;0.681977388111788;0.686243509913836;0.625969914413027;0.675841061164296;0.662110248716009
10_%;0.324735905965063;0.583048793801869;0.621071636243801;0.328053245543359;0.606329836385924;0.663104543932042;0.686356435285127;0.621808961322885;0.664520272393484;0.659198007377857
0.25_%;0.346679955674069;0.603094776205004;0.57956257582823;0.344842351320984;0.596532063874707;0.642168259252547;0.64987074706889;0.609016075315677;0.660809139559914;0.637744780424142
0.5_%;0.348630483982425;0.607204642242187;0.57757691288699;0.346688960062697;0.596921853696648;0.624167300772949;0.657055171685412;0.61243433661999;0.652906065275345;0.630940987248105
0.75_%;0.350076919637965;0.610253660515408;0.580804441057838;0.347594057980691;0.596696702063132;0.62527567937179;0.657547508375754;0.60914579022527;0.667209993956245;0.627983608385703
1_%;0.351549502304889;0.612269816242698;0.573475579111428;0.350400027035669;0.597038528193563;0.620958500600872;0.658595191738543;0.613439192327123;0.669075633387502;0.615897906232329
